feature_name,Norm_Intercept,mean,Norm_Coeff_age,Norm_Coeff_age2
A2009-ctx-rh-G_temp_sup-Lateral_GrayVol,1.44033754474371,1.44880522247593,-0.0434708230746821,0.000247981918181692
A2009-ctx-lh-S_intrapariet_and_P_trans_ThickAvg,2.24678159264639,1.44352244909054,-0.0790558469714163,0.000608809952931726
A2009-ctx-lh-G_front_inf-Orbital_ThickAvg,2.45704033025989,1.4329800233443,-0.0873657035942917,0.000672819552521471
A2009-ctx-rh-G_postcentral_ThickAvg,1.33118906236564,1.42587919558857,-0.0478812640469896,0.000379724673563749
A2009-ctx-rh-G_precuneus_ThickAvg,1.7274945168546,1.40498250144437,-0.0598864958142648,0.000431350146629108
A2009-ctx-rh-G_temp_sup-G_T_transv_ThickAvg,1.41247844972567,1.38706616979807,-0.0466374613112498,0.000313140969284434
A2009-ctx-lh-G_front_middle_ThickAvg,2.35171980163763,1.37557307307615,-0.0850222609129588,0.000685448041714411
A2009-ctx-rh-S_postcentral_ThickAvg,1.95479283793939,1.3480774286688,-0.0677165732291533,0.000504470193664523
A2009-ctx-rh-Lat_Fis-post_ThickAvg,2.10041006890073,1.33336469841024,-0.0638660469009885,0.000354996257764285
A2009-ctx-lh-G_precuneus_ThickAvg,2.04109384133249,1.33317662097371,-0.0730317364885294,0.000560262881919451
A2009-ctx-lh-S_postcentral_ThickAvg,2.30910879966265,1.32268619389537,-0.0854276958207564,0.000704043614314492
A2009-ctx-lh-Lat_Fis-post_ThickAvg,1.68726048249703,1.3223169762516,-0.0460720006938624,0.000189746096309551
A2009-ctx-lh-S_precentral-sup-part_ThickAvg,1.27498339045947,1.32154720116245,-0.0440141821513446,0.000326817091586442
A2009-ctx-rh-S_precentral-sup-part_ThickAvg,1.08327035287307,1.30486036919805,-0.0416266677518555,0.000360042839961626
A2009-ctx-lh-G_front_inf-Opercular_ThickAvg,1.869562435497,1.30287216288597,-0.0583346149641369,0.000339668246848945
A2009-ctx-rh-S_oc_sup_and_transversal_ThickAvg,1.51189428835966,1.29989347701855,-0.0520778228847448,0.000386962126260905
ASEG-Optic-Chiasm_Volume_mm3,-1.58393389817631,1.28280113968107,0.0515932393938238,-0.000337397891113474
A2009-ctx-rh-G_front_middle_ThickAvg,2.00812372238977,1.28273788272098,-0.0706117286662357,0.000552272685244966
A2009-ctx-rh-S_intrapariet_and_P_trans_ThickAvg,1.42384863722973,1.27651382918908,-0.0452653988820252,0.000286348228364308
A2009-ctx-rh-G_and_S_paracentral_ThickAvg,0.958072028231288,1.27537320711473,-0.0317834746869737,0.000219544244240014
A2009-ctx-lh-S_calcarine_ThickStd,1.29961240521774,1.27281603910639,-0.0405839195717801,0.000253481043707207
A2009-ctx-rh-G_pariet_inf-Supramar_ThickAvg,1.90566688085818,1.26910483131452,-0.0616708642546862,0.000405741933570696
A2009-ctx-lh-G_temporal_middle_ThickAvg,1.60098631564594,1.26612398531889,-0.0490469696685651,0.000279185081586538
A2009-ctx-rh-S_temporal_transverse_ThickAvg,0.425185035144974,1.26449758666848,5.86385056418777E-05,-0.000181002215114051
A2009-ctx-lh-S_temporal_sup_ThickAvg,1.67738415821263,1.25885164183922,-0.0479783628149362,0.000220257583361194
A2009-ctx-rh-S_cingul-Marginalis_ThickAvg,2.09561232120343,1.25680130423446,-0.078900400615052,0.00067223095356007
A2009-ctx-rh-G_insular_short_ThickAvg,0.969458022007902,1.25129687637741,-0.0279946732645059,0.000131996386897665
A2009-ctx-rh-S_subparietal_ThickAvg,0.987587826719158,1.24902758819583,-0.0235844522215975,3.79762664112961E-05
A2009-ctx-rh-G_cingul-Post-dorsal_ThickAvg,1.82532606740152,1.24522895887312,-0.0558168500792098,0.000327240310235466
A2009-ctx-rh-G_and_S_cingul-Mid-Post_ThickAvg,2.6934612348954,1.24324773265799,-0.104947812718446,0.000929455952778515
A2009-ctx-lh-G_temp_sup-Plan_tempo_ThickAvg,0.965198955142015,1.23854083494892,-0.0196653538594533,-3.20215860691651E-05
A2009-ctx-rh-G_and_S_subcentral_GrayVol,1.66073874985823,1.23317785063759,-0.0517158708410941,0.000320537670979543
