feature_name,Norm_Coeff,Hearing_Coeff,Norm_Intercept,Hearing_Intercept,mean
ASEG-3rd-Ventricle_normStdDev,-0.0190049766995743,0.00650052239663883,0.854943423057452,-0.83414094348958,0.986571113722879
A2009-ctx-lh-G_orbital_GrayVol,-0.0264185352896427,0.00554726041332096,1.33740317687375,-0.615418104188148,0.945732636680641
ASEG-Left-Lateral-Ventricle_normStdDev,-0.0211504702279445,0.00683582740264428,0.994298492999312,-0.831207604736945,0.941862945628358
A2009-ctx-rh-G_orbital_GrayVol,-0.0270084372287469,0.00527288902190415,1.34852316385188,-0.597093790484624,0.921583128171315
A2009-ctx-lh-G_front_inf-Opercular_GrayVol,-0.0235513864188313,0.00661355321275639,1.18227512029042,-0.65321433005916,0.90108362731816
ASEG-Right-Lateral-Ventricle_normStdDev,-0.0213981232023699,0.00605888593195083,1.00227712217061,-0.802416304803666,0.895140921680069
A2009-ctx-rh-G_front_inf-Opercular_GrayVol,-0.0243682992193978,0.00601813214505165,1.2097038465948,-0.593521313468704,0.872104272240074
A2009-ctx-lh-Pole_occipital_ThickStd,0.0178453843714162,-0.00926872447327188,-0.838650451008542,0.81274615412299,0.866130754010473
ASEG-Right-Accumbens-area_Volume_mm3,-0.0216068545961408,0.00338503241336207,1.07820896942953,-0.550153580613321,0.833293895467124
ASEG-3rd-Ventricle_Volume_mm3,0.0258487495524743,-0.0047075990387709,-1.16904490886822,0.902816437637894,0.832367346145911
ASEG-Right-Putamen_Volume_mm3,-0.0209869211380827,0.00391804716403197,1.02827416518041,-0.556285340641668,0.797834686825736
A2009-ctx-rh-G_precuneus_GrayVol,-0.0219895828183782,0.00482016804656758,1.09360179729974,-0.51828955758688,0.795323671787199
A2009-ctx-rh-S_temporal_sup_ThickAvg,-0.0242121497800885,0.00104364038849445,1.19172168091519,-0.513809507615367,0.784160248490864
ASEG-Left-Thalamus_Volume_mm3,-0.0253383660120024,-0.000824696183093612,1.25641925458573,-0.359566267655229,0.782778952520972
A2009-ctx-rh-G_and_S_cingul-Ant_GrayVol,-0.0242506665767622,0.00358195129054607,1.21181715290636,-0.379247168625197,0.780824740633868
ASEG-Left-choroid-plexus_Volume_mm3,0.0200916030993148,-0.00230169518116437,-0.928366796538933,0.652285302130421,0.780522438094167
A2009-ctx-lh-S_temporal_sup_GrayVol,-0.0193451594929986,0.00518723109239635,0.967573161127661,-0.649020067364883,0.778944869325968
A2009-ctx-lh-G_occipital_middle_ThickStd,0.0191207478285332,-0.00556022923627191,-0.886712854232465,0.765018482612838,0.767297541714536
ASEG-Left-Putamen_Volume_mm3,-0.018596435993544,0.0052365548514498,0.912321471821964,-0.620321701678685,0.765067190527347
ASEG-Left-Accumbens-area_Volume_mm3,-0.0199902043012796,0.00135213354119635,1.02242264723818,-0.471079992589294,0.755605541026828
A2009-ctx-lh-G_front_inf-Triangul_GrayVol,-0.020978420518234,0.00443682976926688,1.04376492117798,-0.477192919668545,0.755090832314772
ASEG-wm-lh-postcentral_normMean,0.0113602653724799,-0.00610090132675927,-0.584501069900227,0.761728937978672,0.749999313981857
A2009-ctx-lh-S_temporal_sup_ThickAvg,-0.0239218989431476,-0.000177292247658207,1.1726511328767,-0.426826667626322,0.748457651839714
ASEG-Right-Thalamus_Volume_mm3,-0.0229010612407623,0.000658939395748587,1.12767001514629,-0.362231040627424,0.736896638203479
A2009-ctx-lh-G_temporal_middle_GrayVol,-0.0198688398433133,0.00181281512575972,0.99005061989653,-0.479559253961855,0.734833346464896
A2009-ctx-lh-G_rectus_GrayVol,-0.0221822596043548,0.00342984051299474,1.10321129368086,-0.387362216405594,0.731767250789866
A2009-ctx-lh-G_and_S_cingul-Ant_GrayVol,-0.0200425406034198,0.00476081084401833,1.01064730588119,-0.453522537851338,0.729075725729362
A2009-ctx-lh-S_calcarine_ThickAvg,-0.0227000703651948,0.00212608921917508,1.13327287769917,-0.343077950863113,0.724258078440103
